full_text,cleasing,case_folding,normalisasi,tokenize,filtering/stopword removal,label
@jokowi Ttp anies,Ttp anies,ttp anies,ttp anies,"['ttp', 'anies']","['ttp', 'anies']",Positif
@geloraco jika pak anies tidak melanjutkan di putaran satu maka pilihan kita adalah pak ganjar. jangan sesekali pilih wowo. https://t.co/QwPtP5PJjZ,jika pak anies tidak melanjutkan di putaran satu maka pilihan kita adalah pak ganjar jangan sesekali pilih wowo,jika pak anies tidak melanjutkan di putaran satu maka pilihan kita adalah pak ganjar jangan sesekali pilih wowo,jika pak anies tidak melanjutkan di putaran satu maka pilihan kita adalah pak   jangan sesekali pilih wowo,"['jika', 'pak', 'anies', 'tidak', 'melanjutkan', 'di', 'putaran', 'satu', 'maka', 'pilihan', 'kita', 'adalah', 'pak', 'jangan', 'sesekali', 'pilih', 'wowo']","['anies', 'melanjutkan', 'putaran', 'pilihan', 'pilih', 'wowo']",Netral
@SumitroYoel gue bkn org Jkt liat Anies lewat berita &amp; Sosmed aja. Bnyk berita jelek nya dan kyk wajar aja emg pejabat kita begitu. Tapi lama kelamaan ini kok berita jelek nya kebanyakan. Penasaran pas kroscek2 lbh jauh ternyata bnyk berita hoax. dan dia kerjanya bagus. Jadi pindah ke 01,gue bkn org Jkt liat Anies lewat berita amp Sosmed aja Bnyk berita jelek nya dan kyk wajar aja emg pejabat kita begitu Tapi lama kelamaan ini kok berita jelek nya kebanyakan Penasaran pas kroscek2 lbh jauh ternyata bnyk berita hoax dan dia kerjanya bagus Jadi pindah ke 01,gue bkn org jkt liat anies lewat berita amp sosmed aja bnyk berita jelek nya dan kyk wajar aja emg pejabat kita begitu tapi lama kelamaan ini kok berita jelek nya kebanyakan penasaran pas kroscek2 lbh jauh ternyata bnyk berita hoax dan dia kerjanya bagus jadi pindah ke 01,gue bkn org jkt liat anies lewat berita amp sosmed aja bnyk berita jelek nya dan kyk wajar aja emg pejabat kita begitu tapi lama kelamaan ini kok berita jelek nya kebanyakan penasaran pas kroscek2 lbh jauh ternyata bnyk berita hoax dan dia kerjanya bagus jadi pindah ke 01,"['gue', 'bkn', 'org', 'jkt', 'liat', 'anies', 'lewat', 'berita', 'amp', 'sosmed', 'aja', 'bnyk', 'berita', 'jelek', 'nya', 'dan', 'kyk', 'wajar', 'aja', 'emg', 'pejabat', 'kita', 'begitu', 'tapi', 'lama', 'kelamaan', 'ini', 'kok', 'berita', 'jelek', 'nya', 'kebanyakan', 'penasaran', 'pas', 'kroscek2', 'lbh', 'jauh', 'ternyata', 'bnyk', 'berita', 'hoax', 'dan', 'dia', 'kerjanya', 'bagus', 'jadi', 'pindah', 'ke', '01']","['gue', 'bkn', 'org', 'jkt', 'liat', 'anies', 'berita', 'amp', 'sosmed', 'aja', 'bnyk', 'berita', 'jelek', 'nya', 'kyk', 'wajar', 'aja', 'emg', 'pejabat', 'berita', 'jelek', 'nya', 'kebanyakan', 'penasaran', 'pas', 'kroscek2', 'lbh', 'bnyk', 'berita', 'hoax', 'kerjanya', 'bagus', 'pindah', '01']",Positif
Jawaban versi simplenya mungkin kek gini kali ya gak tuh bocah masih belum cukup umur buat jadi cawapres saya . Keknya pak Anies sesekali kudu lebih lugas lagi jawabnya deh soalnya buzzer 02 tukang fitnah dengan plintir plintir kalimat orang ,Jawaban versi simplenya mungkin kek gini kali ya gak tuh bocah masih belum cukup umur buat jadi cawapres saya Keknya pak Anies sesekali kudu lebih lugas lagi jawabnya deh soalnya buzzer 02 tukang fitnah dengan plintir plintir kalimat orang,jawaban versi simplenya mungkin kek gini kali ya gak tuh bocah masih belum cukup umur buat jadi cawapres saya keknya pak anies sesekali kudu lebih lugas lagi jawabnya deh soalnya buzzer 02 tukang fitnah dengan plintir plintir kalimat orang,jawaban versi simplenya mungkin kek gini kali ya gak tuh bocah masih belum cukup umur buat jadi cawapres saya keknya pak anies sesekali kudu lebih lugas lagi jawabnya deh soalnya buzzer 02 tukang fitnah dengan plintir plintir kalimat orang,"['jawaban', 'versi', 'simplenya', 'mungkin', 'kek', 'gini', 'kali', 'ya', 'gak', 'tuh', 'bocah', 'masih', 'belum', 'cukup', 'umur', 'buat', 'jadi', 'cawapres', 'saya', 'keknya', 'pak', 'anies', 'sesekali', 'kudu', 'lebih', 'lugas', 'lagi', 'jawabnya', 'deh', 'soalnya', 'buzzer', '02', 'tukang', 'fitnah', 'dengan', 'plintir', 'plintir', 'kalimat', 'orang']","['versi', 'simplenya', 'kek', 'gini', 'kali', 'ya', 'gak', 'tuh', 'bocah', 'umur', 'cawapres', 'keknya', 'anies', 'kudu', 'lugas', 'deh', 'buzzer', '02', 'tukang', 'fitnah', 'plintir', 'plintir', 'kalimat', 'orang']",Negatif
Dibalik SS kenapa mereka pilih Anies di thread ini. Tetep aje masalah islamophobic pasti muncul. Hasil gorengan rezim memang ngeri.,Dibalik SS kenapa mereka pilih Anies di thread ini Tetep aje masalah islamophobic pasti muncul Hasil gorengan rezim memang ngeri,dibalik ss kenapa mereka pilih anies di thread ini tetep aje masalah islamophobic pasti muncul hasil gorengan rezim memang ngeri,dibalik ss kenapa mereka pilih anies di thread ini tetep aje masalah islamophobic pasti muncul hasil gorengan rezim memang ngeri,"['dibalik', 'ss', 'kenapa', 'mereka', 'pilih', 'anies', 'di', 'thread', 'ini', 'tetep', 'aje', 'masalah', 'islamophobic', 'pasti', 'muncul', 'hasil', 'gorengan', 'rezim', 'memang', 'ngeri']","['dibalik', 'ss', 'pilih', 'anies', 'thread', 'tetep', 'aje', 'islamophobic', 'muncul', 'hasil', 'gorengan', 'rezim', 'ngeri']",Negatif
Adem lihatnya semuanya terjaga dengan baik ini bukti Abah @aniesbaswedan merajut tenun kebangsaan menjaga kebhinekaan Indonesia Dengan baik. Walaupun berbeda-beda tetapi tetap satu jua rukun adil dan makmur untuk semua https://t.co/ol7CTOaJj9,Adem lihatnya semuanya terjaga dengan baik ini bukti Abah merajut tenun kebangsaan menjaga kebhinekaan Indonesia Dengan baik Walaupun berbedabeda tetapi tetap satu jua rukun adil dan makmur untuk semua,adem lihatnya semuanya terjaga dengan baik ini bukti abah merajut tenun kebangsaan menjaga kebhinekaan indonesia dengan baik walaupun berbedabeda tetapi tetap satu jua rukun adil dan makmur untuk semua,adem lihatnya semuanya terjaga dengan baik ini bukti abah merajut tenun kebangsaan menjaga kebhinekaan indonesia dengan baik walaupun berbedabeda tetapi tetap satu jua rukun adil dan makmur untuk semua,"['adem', 'lihatnya', 'semuanya', 'terjaga', 'dengan', 'baik', 'ini', 'bukti', 'abah', 'merajut', 'tenun', 'kebangsaan', 'menjaga', 'kebhinekaan', 'indonesia', 'dengan', 'baik', 'walaupun', 'berbedabeda', 'tetapi', 'tetap', 'satu', 'jua', 'rukun', 'adil', 'dan', 'makmur', 'untuk', 'semua']","['adem', 'lihatnya', 'terjaga', 'bukti', 'abah', 'merajut', 'tenun', 'kebangsaan', 'menjaga', 'kebhinekaan', 'indonesia', 'berbedabeda', 'jua', 'rukun', 'adil', 'makmur']",Positif
@tempodotco jika Anies kalah memberi memberi peluang untuk mendukung Ganjar https://t.co/bbCo8rCAmV,jika Anies kalah memberi memberi peluang untuk mendukung Ganjar,jika anies kalah memberi memberi peluang untuk mendukung ganjar,jika anies kalah memberi memberi peluang untuk mendukung  ,"['jika', 'anies', 'kalah', 'memberi', 'memberi', 'peluang', 'untuk', 'mendukung']","['anies', 'kalah', 'peluang', 'mendukung']",Netral
@WidasSatyo Kesan pertama yang bisa di pahami dari video itu pak Anies memberikan kuliah tentang pentingnya ETIKA dan MORAL ,Kesan pertama yang bisa di pahami dari video itu pak Anies memberikan kuliah tentang pentingnya ETIKA dan MORAL,kesan pertama yang bisa di pahami dari video itu pak anies memberikan kuliah tentang pentingnya etika dan moral,kesan pertama yang bisa di pahami dari video itu pak anies memberikan kuliah tentang pentingnya etika dan moral,"['kesan', 'pertama', 'yang', 'bisa', 'di', 'pahami', 'dari', 'video', 'itu', 'pak', 'anies', 'memberikan', 'kuliah', 'tentang', 'pentingnya', 'etika', 'dan', 'moral']","['kesan', 'pahami', 'video', 'anies', 'kuliah', 'etika', 'moral']",Positif
@alextham878 Jika pilihan adalah antara Anies kalah atau dukung Ganjar saya pilih dukung Ganjar https://t.co/CgE6rC5AeM,Jika pilihan adalah antara Anies kalah atau dukung Ganjar saya pilih dukung Ganjar,jika pilihan adalah antara anies kalah atau dukung ganjar saya pilih dukung ganjar,jika pilihan adalah antara anies kalah atau dukung   saya pilih dukung  ,"['jika', 'pilihan', 'adalah', 'antara', 'anies', 'kalah', 'atau', 'dukung', 'saya', 'pilih', 'dukung']","['pilihan', 'anies', 'kalah', 'dukung', 'pilih', 'dukung']",Netral
@jowoennn @stressnugass @detikcom Di berita itu pak anies jelas jelas bilang syarat cawapres harus diatas 40 jangan ngomongin nama-nama yang ngga sesuai konstitusi di berita lain pas ditanya mau silaturahmi ke Gibran atau ngga jawabannya kan (Gibran) sibuk SBG walikota alias menolak halus. Masa ga ngerti,Di berita itu pak anies jelas jelas bilang syarat cawapres harus diatas 40 jangan ngomongin namanama yang ngga sesuai konstitusi di berita lain pas ditanya mau silaturahmi ke Gibran atau ngga jawabannya kan Gibran sibuk SBG walikota alias menolak halus Masa ga ngerti,di berita itu pak anies jelas jelas bilang syarat cawapres harus diatas 40 jangan ngomongin namanama yang ngga sesuai konstitusi di berita lain pas ditanya mau silaturahmi ke gibran atau ngga jawabannya kan gibran sibuk sbg walikota alias menolak halus masa ga ngerti,di berita itu pak anies jelas jelas bilang syarat cawapres harus diatas 40 jangan ngomongin namanama yang tidak sesuai konstitusi di berita lain pas ditanya mau silaturahmi ke gibran atau tidak jawabannya kan gibran sibuk sbg walikota alias menolak halus masa ga ngerti,"['di', 'berita', 'itu', 'pak', 'anies', 'jelas', 'jelas', 'bilang', 'syarat', 'cawapres', 'harus', 'diatas', '40', 'jangan', 'ngomongin', 'namanama', 'yang', 'tidak', 'sesuai', 'konstitusi', 'di', 'berita', 'lain', 'pas', 'ditanya', 'mau', 'silaturahmi', 'ke', 'gibran', 'atau', 'tidak', 'jawabannya', 'kan', 'gibran', 'sibuk', 'sbg', 'walikota', 'alias', 'menolak', 'halus', 'masa', 'ga', 'ngerti']","['berita', 'anies', 'bilang', 'syarat', 'cawapres', 'diatas', '40', 'ngomongin', 'namanama', 'sesuai', 'konstitusi', 'berita', 'pas', 'silaturahmi', 'gibran', 'jawabannya', 'gibran', 'sibuk', 'sbg', 'walikota', 'alias', 'menolak', 'halus', 'ga', 'ngerti']",Netral
@jokowi di putaran pertama klo anies kalah masih ada ganjar klo wowo gk dulu https://t.co/qifgJ1FWwf,di putaran pertama klo anies kalah masih ada ganjar klo wowo gk dulu,di putaran pertama klo anies kalah masih ada ganjar klo wowo gk dulu,di putaran pertama kalau anies kalah masih ada   kalau wowo gk dulu,"['di', 'putaran', 'pertama', 'kalau', 'anies', 'kalah', 'masih', 'ada', 'kalau', 'wowo', 'gk', 'dulu']","['putaran', 'anies', 'kalah', 'wowo', 'gk']",Netral
@SumitroYoel Sebetulnya Pak Anies gak diem aja kok soal politik identitas itu sama seperti saat dia menjabat sebagai gubernur minim publikasi dan pemberitaan. Beliau sebar surat supaya gejolak di masyarakat mereda https://t.co/GgUF0RUKII https://t.co/R7Ffu5oqTr,Sebetulnya Pak Anies gak diem aja kok soal politik identitas itu sama seperti saat dia menjabat sebagai gubernur minim publikasi dan pemberitaan Beliau sebar surat supaya gejolak di masyarakat mereda,sebetulnya pak anies gak diem aja kok soal politik identitas itu sama seperti saat dia menjabat sebagai gubernur minim publikasi dan pemberitaan beliau sebar surat supaya gejolak di masyarakat mereda,sebetulnya pak anies gak diem aja kok soal politik identitas itu sama seperti saat dia menjabat sebagai gubernur minim publikasi dan pemberitaan beliau sebar surat supaya gejolak di masyarakat mereda,"['sebetulnya', 'pak', 'anies', 'gak', 'diem', 'aja', 'kok', 'soal', 'politik', 'identitas', 'itu', 'sama', 'seperti', 'saat', 'dia', 'menjabat', 'sebagai', 'gubernur', 'minim', 'publikasi', 'dan', 'pemberitaan', 'beliau', 'sebar', 'surat', 'supaya', 'gejolak', 'di', 'masyarakat', 'mereda']","['anies', 'gak', 'diem', 'aja', 'politik', 'identitas', 'menjabat', 'gubernur', 'minim', 'publikasi', 'pemberitaan', 'beliau', 'sebar', 'surat', 'gejolak', 'masyarakat', 'mereda']",Positif
@sikoom @yshmne___ yaelah yg bawa syahadat 4x setiap nyapres itu siapa? kan bawa agama jangan standar ganda cuy gilira pak anies aja dikatain politik identitas,yaelah yg bawa syahadat 4x setiap nyapres itu siapa kan bawa agama jangan standar ganda cuy gilira pak anies aja dikatain politik identitas,yaelah yg bawa syahadat 4x setiap nyapres itu siapa kan bawa agama jangan standar ganda cuy gilira pak anies aja dikatain politik identitas,yaelah yang bawa syahadat 4x setiap nyapres itu siapa kan bawa agama jangan standar ganda cuy gilira pak anies aja dikatain politik identitas,"['yaelah', 'yang', 'bawa', 'syahadat', '4x', 'setiap', 'nyapres', 'itu', 'siapa', 'kan', 'bawa', 'agama', 'jangan', 'standar', 'ganda', 'cuy', 'gilira', 'pak', 'anies', 'aja', 'dikatain', 'politik', 'identitas']","['yaelah', 'bawa', 'syahadat', '4x', 'nyapres', 'bawa', 'agama', 'standar', 'ganda', 'cuy', 'gilira', 'anies', 'aja', 'dikatain', 'politik', 'identitas']",Negatif
@SumitroYoel Gw tadinya udh apatis gegara liat ps pindah ke sebelah udh rencana golput aja. Diantara debat ke2 dan ke3 gw nemu podcast cing abdel sama nntn potongan desak anies pas sammy nanya dr situ gw ngerasa sejalan sm visi misi 01.,Gw tadinya udh apatis gegara liat ps pindah ke sebelah udh rencana golput aja Diantara debat ke2 dan ke3 gw nemu podcast cing abdel sama nntn potongan desak anies pas sammy nanya dr situ gw ngerasa sejalan sm visi misi 01,gw tadinya udh apatis gegara liat ps pindah ke sebelah udh rencana golput aja diantara debat ke2 dan ke3 gw nemu podcast cing abdel sama nntn potongan desak anies pas sammy nanya dr situ gw ngerasa sejalan sm visi misi 01,gw tadinya udh apatis gegara liat ps pindah ke sebelah udh rencana golput aja diantara debat ke2 dan ke3 gw nemu podcast cing abdel sama nntn potongan desak anies pas sammy nanya dr situ gw ngerasa sejalan sm visi misi 01,"['gw', 'tadinya', 'udh', 'apatis', 'gegara', 'liat', 'ps', 'pindah', 'ke', 'sebelah', 'udh', 'rencana', 'golput', 'aja', 'diantara', 'debat', 'ke2', 'dan', 'ke3', 'gw', 'nemu', 'podcast', 'cing', 'abdel', 'sama', 'nntn', 'potongan', 'desak', 'anies', 'pas', 'sammy', 'nanya', 'dr', 'situ', 'gw', 'ngerasa', 'sejalan', 'sm', 'visi', 'misi', '01']","['gw', 'udh', 'apatis', 'gegara', 'liat', 'ps', 'pindah', 'sebelah', 'udh', 'rencana', 'golput', 'aja', 'debat', 'ke2', 'ke3', 'gw', 'nemu', 'podcast', 'cing', 'abdel', 'nntn', 'potongan', 'desak', 'anies', 'pas', 'sammy', 'nanya', 'dr', 'situ', 'gw', 'ngerasa', 'sejalan', 'sm', 'visi', 'misi', '01']",Positif
@geloraco Tidak akan pernah pilih pemimpin yg inkonsisten seperti nomor 2. pilih yg jelas bela rakyat seperti pak anies. maka jika pak anies kalah karena di jegal kita ke pak ganjar kuy. https://t.co/dvbR6PHA2b,Tidak akan pernah pilih pemimpin yg inkonsisten seperti nomor 2 pilih yg jelas bela rakyat seperti pak anies maka jika pak anies kalah karena di jegal kita ke pak ganjar kuy,tidak akan pernah pilih pemimpin yg inkonsisten seperti nomor 2 pilih yg jelas bela rakyat seperti pak anies maka jika pak anies kalah karena di jegal kita ke pak ganjar kuy,tidak akan pernah pilih pemimpin yang inkonsisten seperti nomor 2 pilih yang jelas bela rakyat seperti pak anies maka jika pak anies kalah karena di jegal kita ke pak   kuy,"['tidak', 'akan', 'pernah', 'pilih', 'pemimpin', 'yang', 'inkonsisten', 'seperti', 'nomor', '2', 'pilih', 'yang', 'jelas', 'bela', 'rakyat', 'seperti', 'pak', 'anies', 'maka', 'jika', 'pak', 'anies', 'kalah', 'karena', 'di', 'jegal', 'kita', 'ke', 'pak', 'kuy']","['pilih', 'pemimpin', 'inkonsisten', 'nomor', '2', 'pilih', 'bela', 'rakyat', 'anies', 'anies', 'kalah', 'jegal', 'kuy']",Netral
@tempodotco Dukungan penuh hanya untuk anies..namun jika kalah di putaran pertama nantinya lebih baik saya mendukung untuk paslon 03 https://t.co/4N3Ts5Zdzu,Dukungan penuh hanya untuk aniesnamun jika kalah di putaran pertama nantinya lebih baik saya mendukung untuk paslon 03,dukungan penuh hanya untuk aniesnamun jika kalah di putaran pertama nantinya lebih baik saya mendukung untuk paslon 03,dukungan penuh hanya untuk aniesnamun jika kalah di putaran pertama nantinya lebih baik saya mendukung untuk paslon 03,"['dukungan', 'penuh', 'hanya', 'untuk', 'aniesnamun', 'jika', 'kalah', 'di', 'putaran', 'pertama', 'nantinya', 'lebih', 'baik', 'saya', 'mendukung', 'untuk', 'paslon', '03']","['dukungan', 'penuh', 'aniesnamun', 'kalah', 'putaran', 'mendukung', 'paslon', '03']",Netral
@tempodotco jika Anies kalah namun mari kita lihat ke depan dengan mendukung Ganjar https://t.co/CwMJ54RV07,jika Anies kalah namun mari kita lihat ke depan dengan mendukung Ganjar,jika anies kalah namun mari kita lihat ke depan dengan mendukung ganjar,jika anies kalah namun mari kita lihat ke depan dengan mendukung  ,"['jika', 'anies', 'kalah', 'namun', 'mari', 'kita', 'lihat', 'ke', 'depan', 'dengan', 'mendukung']","['anies', 'kalah', 'mari', 'lihat', 'mendukung']",Netral
Banyakin baca sblm nuduh @moh_boesh Sejak Gub DKI Anies udah sering melayat ke warga nya seperti pasukan orange dan korban kerusuhan malah sampai angkat keranda nya. Udah ga jadi gubernur juga Anies ngelayat ke org PDIP yg sering nyinyirin kinerja Anies,Banyakin baca sblm nuduh Sejak Gub DKI Anies udah sering melayat ke warga nya seperti pasukan orange dan korban kerusuhan malah sampai angkat keranda nya Udah ga jadi gubernur juga Anies ngelayat ke org PDIP yg sering nyinyirin kinerja Anies,banyakin baca sblm nuduh sejak gub dki anies udah sering melayat ke warga nya seperti pasukan orange dan korban kerusuhan malah sampai angkat keranda nya udah ga jadi gubernur juga anies ngelayat ke org pdip yg sering nyinyirin kinerja anies,banyakin baca sblm nuduh sejak gub dki anies udah sering melayat ke warga nya seperti pasukan orange dan korban kerusuhan malah sampai angkat keranda nya udah ga jadi gubernur juga anies ngelayat ke org pdip yang sering nyinyirin kinerja anies,"['banyakin', 'baca', 'sblm', 'nuduh', 'sejak', 'gub', 'dki', 'anies', 'udah', 'sering', 'melayat', 'ke', 'warga', 'nya', 'seperti', 'pasukan', 'orange', 'dan', 'korban', 'kerusuhan', 'malah', 'sampai', 'angkat', 'keranda', 'nya', 'udah', 'ga', 'jadi', 'gubernur', 'juga', 'anies', 'ngelayat', 'ke', 'org', 'pdip', 'yang', 'sering', 'nyinyirin', 'kinerja', 'anies']","['banyakin', 'baca', 'sblm', 'nuduh', 'gub', 'dki', 'anies', 'udah', 'melayat', 'warga', 'nya', 'pasukan', 'orange', 'korban', 'kerusuhan', 'angkat', 'keranda', 'nya', 'udah', 'ga', 'gubernur', 'anies', 'ngelayat', 'org', 'pdip', 'nyinyirin', 'kinerja', 'anies']",Positif
Jumpa lagi di TAGIH ANIES insyaAllah mbak.. ,Jumpa lagi di TAGIH ANIES insyaAllah mbak,jumpa lagi di tagih anies insyaallah mbak,jumpa lagi di tagih anies insyaallah mbak,"['jumpa', 'lagi', 'di', 'tagih', 'anies', 'insyaallah', 'mbak']","['jumpa', 'tagih', 'anies', 'insyaallah', 'mbak']",Netral
Lancarkanlah hamba tiap mencari data dan informasi buat ngebales tuduhan yg dibilang temenku tentang pak anies yaallah,Lancarkanlah hamba tiap mencari data dan informasi buat ngebales tuduhan yg dibilang temenku tentang pak anies yaallah,lancarkanlah hamba tiap mencari data dan informasi buat ngebales tuduhan yg dibilang temenku tentang pak anies yaallah,lancarkanlah hamba tiap mencari data dan informasi buat ngebales tuduhan yang dibilang temenku tentang pak anies yaallah,"['lancarkanlah', 'hamba', 'tiap', 'mencari', 'data', 'dan', 'informasi', 'buat', 'ngebales', 'tuduhan', 'yang', 'dibilang', 'temenku', 'tentang', 'pak', 'anies', 'yaallah']","['lancarkanlah', 'hamba', 'mencari', 'data', 'informasi', 'ngebales', 'tuduhan', 'dibilang', 'temenku', 'anies', 'yaallah']",Positif
counter ketika gue ngejelasin soal Anies dan gue bilang klo banyak prestasi Jakarta selama Anies menjabat.. Kakak gak tinggal di jakarta kan? ya terus pendapat org2 yg emang d jakarta semuanya invalid gt? ,counter ketika gue ngejelasin soal Anies dan gue bilang klo banyak prestasi Jakarta selama Anies menjabat Kakak gak tinggal di jakarta kan ya terus pendapat org2 yg emang d jakarta semuanya invalid gt,counter ketika gue ngejelasin soal anies dan gue bilang klo banyak prestasi jakarta selama anies menjabat kakak gak tinggal di jakarta kan ya terus pendapat org2 yg emang d jakarta semuanya invalid gt,counter ketika gue ngejelasin soal anies dan gue bilang kalau banyak prestasi jakarta selama anies menjabat kakak gak tinggal di jakarta kan ya terus pendapat org2 yang emang d jakarta semuanya invalid gt,"['counter', 'ketika', 'gue', 'ngejelasin', 'soal', 'anies', 'dan', 'gue', 'bilang', 'kalau', 'banyak', 'prestasi', 'jakarta', 'selama', 'anies', 'menjabat', 'kakak', 'gak', 'tinggal', 'di', 'jakarta', 'kan', 'ya', 'terus', 'pendapat', 'org2', 'yang', 'emang', 'd', 'jakarta', 'semuanya', 'invalid', 'gt']","['counter', 'gue', 'ngejelasin', 'anies', 'gue', 'bilang', 'prestasi', 'jakarta', 'anies', 'menjabat', 'kakak', 'gak', 'tinggal', 'jakarta', 'ya', 'pendapat', 'org2', 'emang', 'd', 'jakarta', 'invalid', 'gt']",Positif
Apalagi ternyata visi misinya bagus. Jd karna visi misi bagus + rekam jejak jelas w memutuskan buat pilih anies ,Apalagi ternyata visi misinya bagus Jd karna visi misi bagus rekam jejak jelas w memutuskan buat pilih anies,apalagi ternyata visi misinya bagus jd karna visi misi bagus rekam jejak jelas w memutuskan buat pilih anies,apalagi ternyata visi misinya bagus jadi karna visi misi bagus rekam jejak jelas w memutuskan buat pilih anies,"['apalagi', 'ternyata', 'visi', 'misinya', 'bagus', 'jadi', 'karna', 'visi', 'misi', 'bagus', 'rekam', 'jejak', 'jelas', 'w', 'memutuskan', 'buat', 'pilih', 'anies']","['visi', 'misinya', 'bagus', 'karna', 'visi', 'misi', 'bagus', 'rekam', 'jejak', 'w', 'memutuskan', 'pilih', 'anies']",Positif
@Fahrihamzah Mau anies kalah pun saya lebih baik untuk dukung saja pak ganjar https://t.co/zkUbKLhb0b,Mau anies kalah pun saya lebih baik untuk dukung saja pak ganjar,mau anies kalah pun saya lebih baik untuk dukung saja pak ganjar,mau anies kalah pun saya lebih baik untuk dukung saja pak  ,"['mau', 'anies', 'kalah', 'pun', 'saya', 'lebih', 'baik', 'untuk', 'dukung', 'saja', 'pak']","['anies', 'kalah', 'dukung']",Netral
 Presiden dengan keluarga harmonis bisa jadi bikin sekeluarga pengen bareng juga ngurus negara. Kalau anak-anaknya sama berkualitasnya kek pak Anies gue mah GA MASALAH. Tapi masalahnya jokowi anaknya jeblok semua sama kek dia. Malah lebih parah makanya gue ga relaaa,Presiden dengan keluarga harmonis bisa jadi bikin sekeluarga pengen bareng juga ngurus negara Kalau anakanaknya sama berkualitasnya kek pak Anies gue mah GA MASALAH Tapi masalahnya jokowi anaknya jeblok semua sama kek dia Malah lebih parah makanya gue ga relaaa,presiden dengan keluarga harmonis bisa jadi bikin sekeluarga pengen bareng juga ngurus negara kalau anakanaknya sama berkualitasnya kek pak anies gue mah ga masalah tapi masalahnya jokowi anaknya jeblok semua sama kek dia malah lebih parah makanya gue ga relaaa,presiden dengan keluarga harmonis bisa jadi bikin sekeluarga pengen bareng juga ngurus negara kalau anakanaknya sama berkualitasnya kek pak anies gue mah ga masalah tapi masalahnya jokowi anaknya jeblok semua sama kek dia malah lebih parah makanya gue ga relaaa,"['presiden', 'dengan', 'keluarga', 'harmonis', 'bisa', 'jadi', 'bikin', 'sekeluarga', 'pengen', 'bareng', 'juga', 'ngurus', 'negara', 'kalau', 'anakanaknya', 'sama', 'berkualitasnya', 'kek', 'pak', 'anies', 'gue', 'mah', 'ga', 'masalah', 'tapi', 'masalahnya', 'jokowi', 'anaknya', 'jeblok', 'semua', 'sama', 'kek', 'dia', 'malah', 'lebih', 'parah', 'makanya', 'gue', 'ga', 'relaaa']","['presiden', 'keluarga', 'harmonis', 'bikin', 'sekeluarga', 'pengen', 'bareng', 'ngurus', 'negara', 'anakanaknya', 'berkualitasnya', 'kek', 'anies', 'gue', 'mah', 'ga', 'jokowi', 'anaknya', 'jeblok', 'kek', 'parah', 'gue', 'ga', 'relaaa']",Negatif
@tempodotco Jika Anies kalah lebih baik dukung Ganjar daripada 02 untuk kestabilan dan kemajuan indonesia https://t.co/sERtw50XKL,Jika Anies kalah lebih baik dukung Ganjar daripada 02 untuk kestabilan dan kemajuan indonesia,jika anies kalah lebih baik dukung ganjar daripada 02 untuk kestabilan dan kemajuan indonesia,jika anies kalah lebih baik dukung   daripada 02 untuk kestabilan dan kemajuan indonesia,"['jika', 'anies', 'kalah', 'lebih', 'baik', 'dukung', 'daripada', '02', 'untuk', 'kestabilan', 'dan', 'kemajuan', 'indonesia']","['anies', 'kalah', 'dukung', '02', 'kestabilan', 'kemajuan', 'indonesia']",Netral
@nefertiti_d6 Kalo ke Pak @aniesbaswedan ga pake syarat atau Nego apapun . Makany Connie ga berani ke anies,Kalo ke Pak ga pake syarat atau Nego apapun Makany Connie ga berani ke anies,kalo ke pak ga pake syarat atau nego apapun makany connie ga berani ke anies,kalau ke pak ga pake syarat atau nego apapun makany connie ga berani ke anies,"['kalau', 'ke', 'pak', 'ga', 'pake', 'syarat', 'atau', 'nego', 'apapun', 'makany', 'connie', 'ga', 'berani', 'ke', 'anies']","['ga', 'pake', 'syarat', 'nego', 'apapun', 'makany', 'connie', 'ga', 'berani', 'anies']",Positif
@antibuzzeerrrr @jackinhere1 @PartaiSocmed Foto anies dan ketua MK sebelum penentuan cawapres https://t.co/OPIg6B9WH0,Foto anies dan ketua MK sebelum penentuan cawapres,foto anies dan ketua mk sebelum penentuan cawapres,foto anies dan ketua mk sebelum penentuan cawapres,"['foto', 'anies', 'dan', 'ketua', 'mk', 'sebelum', 'penentuan', 'cawapres']","['foto', 'anies', 'ketua', 'mk', 'penentuan', 'cawapres']",Netral
