created_at,full_text,username,label_manually,analisis
Mon Feb 12 23:25:33 +0000 2024,@geloraco Tidak akan pernah pilih pemimpin yg inkonsisten seperti nomor 2. pilih yg jelas bela rakyat seperti pak anies. maka jika pak anies kalah karena di jegal kita ke pak ganjar kuy. https://t.co/dvbR6PHA2b,Aghniaghiani,Netral,Tweet ini menunjukkan pilihan antara Anies dan Ganjar.
Mon Feb 12 23:25:19 +0000 2024,@tempodotco jika Anies kalah namun mari kita lihat ke depan dengan mendukung Ganjar https://t.co/CwMJ54RV07,aksaradirg,Positif,Tweet ini menunjukkan dukungan cadangan untuk Ganjar jika Anies kalah.
Mon Feb 12 23:25:08 +0000 2024,@_sanyanya 31 rb suara selalu jadi counter 02 memang kalau dikasih fakta 02 same as kaya temen gue padahal 31rb suara itu gak terbukti ‍️‍️,oldpium,Netral,Tweet ini membahas fakta yang tidak terbukti tanpa menunjukkan opini politik yang jelas.
Mon Feb 12 23:24:53 +0000 2024,Ganjar Pranowo dan Prof Mahfud mengajak masyarakat untuk berperan sebagai penjaga demokrasi yang cerdas . Ganjar Pranowo hanya yang terbaik untuk rakyat @cakeccainee #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XlFhkN2PTb,septi_nurainii,Positif,Tweet ini memuji ajakan Ganjar-Mahfud untuk menjaga demokrasi.
Mon Feb 12 23:24:51 +0000 2024,@tanyakanrl ini pak ganjar kah,iheeseungt,Netral,Tweet ini hanya bertanya tanpa menunjukkan opini politik.
Mon Feb 12 23:24:50 +0000 2024,Dukungan tanpa pamrih dari Semarang menjadi kekuatan yang tak tergoyahkan bagi perjalanan Ganjar - Mahfud ke puncak kekuasaan . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @mudaaselalu #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/wTLOyDIeMM,__iwansetiawan,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:24:48 +0000 2024,@Maulanairsyad18 Mutiara baswedan boleh alam ganjar nggak boleh wkwk,Diyahsiron17,Netral,Tweet ini menunjukkan ketidaksetujuan dengan humor tanpa opini politik yang jelas.
Mon Feb 12 23:24:43 +0000 2024,@geloraco maklumi saja kakek pula hehe kami mah AMIN yakan. ada pak ganjar juga kalau jagoan kami kalah. https://t.co/x79db12wUP,AnnisaSalsa1__,Netral,Tweet ini menunjukkan pilihan cadangan untuk Ganjar jika jagoan mereka kalah.
Mon Feb 12 23:24:41 +0000 2024,@timpenguinnas ganjar pasti m3nang karna ganjar punya sikap yg gigih untuk bangun negara #GanjarSikatKorupsi,tomiputraang,Positif,Tweet ini memuji sikap gigih Ganjar untuk membangun negara.
Mon Feb 12 23:24:36 +0000 2024,@Jumianto_RK Pak Ganjar selalu dukung anak muda yg mau berkarya. Ganjar Mahfud Hebat #Coblos3 https://t.co/QeZr8zKAKN,erwirthart42985,Positif,Tweet ini memuji dukungan Ganjar terhadap anak muda.
Mon Feb 12 23:24:32 +0000 2024,@stargzie ganjar suka alam,adiadidijalan_,Positif,Tweet ini menunjukkan bahwa Ganjar suka alam.
Mon Feb 12 23:24:15 +0000 2024,@kurawa Yang naikan suara Ganjar diawal itu endorse Jokowi. Bukan PDIP. PDIP pada waktu itu masih inginkan Puan yg jadi Capres.,jevi_fernando,Netral,Tweet ini membahas dukungan Jokowi terhadap Ganjar dan bukan PDIP.
Mon Feb 12 23:24:06 +0000 2024,@ganjarpranowo Asik banget jogednya pak ganjar dan pak mahfud hihihi,lilith64784,Positif,Tweet ini memuji joged Ganjar dan Mahfud.
Mon Feb 12 23:23:58 +0000 2024,@geloraco Sudah tua. jadi suka lupa pake jalur apa kmaren cawapresnya. makanya jangan dipilih yang kayak gini. masih ada yg lebih sehat jasmani dan rohani. pak anies dong yah. kalah kita pun ada juga pak ganjar yg punya kapabilitas yg mumpuni. https://t.co/3omBrJNJtT,Azzahnikmatul,Netral,Tweet ini membahas pilihan antara Anies dan Ganjar.
Mon Feb 12 23:23:39 +0000 2024,Dengan ajakan dari Ganjar Pranowo dan Prof Mahfud masyarakat merasa memiliki tanggung jawab moral untuk mengawal proses pemilu . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @Fahrur78428464 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/UDzGx7OP5o,NissaPutrix,Positif,Tweet ini memuji ajakan Ganjar-Mahfud untuk mengawal pemilu.
Mon Feb 12 23:23:38 +0000 2024,Warga Semarang terkesan dengan komitmen Ganjar - Mahfud untuk memajukan kota mereka . Kesejahteraan berkali lipat Indonesia Hebat ! @mzhimli #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/axeED7U6ym,__dimasgunawan,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:23:37 +0000 2024,@ganjarpranowo Bersama ganjar mahfud untuk indonesia yang lebih baik lagi,lilith64784,Positif,Tweet ini mendukung Ganjar-Mahfud untuk Indonesia yang lebih baik.
Mon Feb 12 23:23:22 +0000 2024,1206 responden itu sudah cukup banyak. Dan yakinlah tak ada pembagian bansos ataupun dimintai data seperti no WA alamat dll di survei ini. Survei Litbang DPP #SahabatGanjar dengan 51 4 % untuk Ganjar-Mahfud Bisa 1 putaran dong kalo gini #GanjarMahfud2024 https://t.co/dDHosUV7Dm,tnmuda,Positif,Tweet ini menunjukkan hasil survei yang mendukung Ganjar-Mahfud.
Mon Feb 12 23:22:55 +0000 2024,Ada 2 hal yg akan ditinggalkan oleh Jokowi 1. Pembangunan infrastruktur disegala bidang 2. Demokrasi Hukum KKN hancur disegala lini. Untuk memperbaiki semua ini Solusinya Ganjar &amp; Mahfud 1. Ganjar memperbaiki ekonomi segala bidang 2. Mahfud memperbaiki hukum segala bidang.,saya_cebongers,Positif,Tweet ini memuji solusi Ganjar-Mahfud untuk memperbaiki Indonesia.
Mon Feb 12 23:22:50 +0000 2024,Hasil exit poll di manca negara adl modal utk di dalam negeri. Biasanya di luar negeri menang dan apalagi di dalam negeri pasti menang. Siapkan emb3r dan mewek ramai2 Rebo malam di kartanegara !!,AgusKuswanto121,Netral,Tweet ini membahas hasil exit poll tanpa menunjukkan opini politik yang jelas.
Mon Feb 12 23:22:43 +0000 2024,@BangWin04 Sudah mendukung Jokowi anak mantunya menjabat Airlangga Luhut yg Golkar malah jadi menko. Bukanya Puan malah Jokowi mengendors Ganjar. Mau minta perpanjangan pula dimana akan melanggar trade Mark PDIP menjunjung konstitisi,dedifir30803641,Netral,Tweet ini membahas dukungan Jokowi terhadap Ganjar dan bukan Puan.
Mon Feb 12 23:22:36 +0000 2024,@alextham878 Anies kalah? Tidak masalah mari dukung Ganjar https://t.co/ie8tVh7rXO,FrisliaAn,Positif,Tweet ini menunjukkan dukungan cadangan untuk Ganjar jika Anies kalah.
Mon Feb 12 23:22:17 +0000 2024,@Fahrihamzah Mau anies kalah pun saya lebih baik untuk dukung saja pak ganjar https://t.co/zkUbKLhb0b,kikiriskio2,Positif,Tweet ini menunjukkan pilihan untuk mendukung Ganjar jika Anies kalah.
Mon Feb 12 23:22:06 +0000 2024,@tempodotco Jika Anies kalah lebih baik dukung Ganjar daripada 02 untuk kestabilan dan kemajuan indonesia https://t.co/sERtw50XKL,FrisliaAn,Positif,Tweet ini menunjukkan dukungan untuk Ganjar jika Anies kalah.
Mon Feb 12 23:21:40 +0000 2024,@VIVAcoid Di luar Negeri baru beberapa Negara aja uda Memimpin apalagi semua negara dan didalam Negeri Ganjar-Mahfud uda menang Pak Lurah.. anda jangan menggunakan alat Negara dan Kekuasaan untuk membuat kecurangan dan Spekulasi suara di KPU yah https://t.co/eDbkHC1QUZ,RenwarinFredy,Netral,Tweet ini membahas hasil pemilu tanpa menunjukkan opini politik yang jelas.
Mon Feb 12 23:21:38 +0000 2024,@aan_muba mantap,SunHok19,Positif,Tweet ini menunjukkan dukungan singkat dan positif.
Mon Feb 12 23:21:26 +0000 2024,@Fahrihamzah pak Anies kalah di putaran pertama? jelas pilih pak Ganjar dong ngapain pilih Prabowo https://t.co/Nz6ZRRI7AL,andikaramddd,Positif,Tweet ini menunjukkan dukungan untuk Ganjar jika Anies kalah.
Mon Feb 12 23:21:11 +0000 2024,Semangat rakyat Semarang dalam mendukung Ganjar - Mahfud sungguh membara . Kesejahteraan berkali lipat Indonesia Hebat ! @tasyajuwita #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/d6mHBEPQr7,hanahanifa318,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:21:07 +0000 2024,Dulu pilih Jokowi sekarang Mas Ganjar jadi pilihan kita . Ganjar Pranowo hanya yang terbaik untuk rakyat @ujg999 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/0FukgioNVf,diankartiika,Positif,Tweet ini menunjukkan peralihan dukungan dari Jokowi ke Ganjar.
Mon Feb 12 23:20:55 +0000 2024,@ccacon Wkwkw bener. Mana yg 01 punya Mutiara Baswedan dan 03 punya Alam Ganjar..,gilinganbesi,Netral,Tweet ini membahas perbandingan antara kandidat.
Mon Feb 12 23:20:54 +0000 2024,@ganjarpranowo @ernestprakasa Sosweet sekali sih pak Ganjar nonton bareng sama Bu Atikoh ,AlovaLova422738,Positif,Tweet ini memuji kebersamaan Ganjar dengan istrinya.
Mon Feb 12 23:20:54 +0000 2024,@timpenguinnas Apapun yang terjadi tetap konsisten dukung ganjar-Mahfud ,Fitriyanidela4,Positif,Tweet ini menunjukkan dukungan konsisten untuk Ganjar-Mahfud.
Mon Feb 12 23:20:53 +0000 2024,Ganjar-Mahfud hadir untuk memastikan bahwa tak ada lagi yang terpinggirkan di republik ini @ianseelou #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ToAf8KmfJj,cesyameylani,Positif,Tweet ini memuji komitmen Ganjar-Mahfud untuk keadilan.
Mon Feb 12 23:20:41 +0000 2024,@Fahrihamzah saya bakal Ganjar kalo di putaran pertama Anies kalah ga bakal dukung Prabowo https://t.co/Zh0fjP5aW5,alfatriyadi__,Positif,Tweet ini menunjukkan pilihan untuk mendukung Ganjar jika Anies kalah.
Mon Feb 12 23:20:32 +0000 2024,Kehadiran Pak Ganjar dan Mas Mahfud dalam kampanye akbar Hajatan Rakyat semakin memperkokoh rasa optimisme warga Semarang . Ganjar Pranowo terbukti mensejahterakan @MasGili #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/nYbwlHdNUG,AminahSriani,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:20:14 +0000 2024,Alam ganjar itu siapanya pak ganjar to???? https://t.co/h0wXYmCmwp,jejejanis,Netral,Tweet ini bertanya tentang hubungan Ganjar dengan seseorang.
Mon Feb 12 23:19:57 +0000 2024,Bersama Ganjar Pranowo masyarakat didorong untuk bertindak sebagai penjaga keadilan dan kebenaran pemilihan . Tiga Kali Lebih Sejahtera Untuk Indonesia Hebat! @fauriza_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/zqUgtlprR5,dewinngsh_,Positif,Tweet ini memuji ajakan Ganjar untuk keadilan.
Mon Feb 12 23:19:50 +0000 2024,Meski beda tetap damai di Malaysia.... 03 mendominasi coblosan di Malaysia.. 🇮🇩🇮🇩🇮🇩🇮🇩 https://t.co/5zEhlR2WwP,Bambangmulyonoo,Netral,Tweet ini membahas hasil pemilu di Malaysia tanpa menunjukkan opini politik yang jelas.
Mon Feb 12 23:19:49 +0000 2024,Warga Semarang yakin Ganjar - Mahfud akan membawa perubahan positif setelah hajatan rakyat tersebut . Ganjar Pranowo hanya yang terbaik untuk rakyat @tinantang #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/yszLHU2JMf,MultianaFeby2_,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:19:42 +0000 2024,@PSSleman Ganjar fokus balbalan,bunayadarunawa,Netral,Tweet ini membahas fokus Ganjar pada sepak bola.
Mon Feb 12 23:19:36 +0000 2024,Tetaplah optimis dan yakin bahwa Ganjar-Mahfud akan memimpin dengan baik. Bersama Ganjar kita sejahtera @metahyunn #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/zE6e1kqIsz,PutrianiYanti,Positif,Tweet ini menunjukkan optimisme terhadap kepemimpinan Ganjar-Mahfud.
Mon Feb 12 23:19:22 +0000 2024,Ganjar-Mahfud bukan sekadar janji tapi komitmen untuk memastikan keadilan bagi semua @imdinus #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ZqtlJlNKUL,ridhooamaludin,Positif,Tweet ini memuji komitmen Ganjar-Mahfud untuk keadilan.
Mon Feb 12 23:19:19 +0000 2024,Hajatan Rakyat Ganjar - Mahfud membangkitkan semangat kebangsaan di Semarang . Tiga Kali Lebih Sejahtera Indonesia Jaya! @mediaatre #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/y8Z7BMzFtG,ali_sucipta,Positif,Tweet ini menunjukkan dukungan kuat dari Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:19:18 +0000 2024,Ganjar mahfud bg?,drugonlinegate,Netral,Tweet ini bertanya tentang hubungan Ganjar dengan Mahfud.
Mon Feb 12 23:19:14 +0000 2024,Gak usah pusingin partai PDIP krn partai ini nyaman di segala situasi. Bisa jadi partai pemerintah dan bisa juga jadi oposisi. Kita lihat besok 14 Feb 24 aja.,AgusKuswanto121,Netral,Tweet ini membahas fleksibilitas PDIP tanpa menunjukkan opini politik yang jelas.
Mon Feb 12 23:19:14 +0000 2024,@killthedj Jokowi ada 2 hal yg dia tinggalkan 1. Pembangunan infrastruktur disegala lini 2. Demokrasi yg hancur KKN dimana hukum babak belur. Untuk memperbaiki semua ini alternatifnya hanya 1. Menangkan 03 Ganjar Mahfud 1. Ganjar akan memperbaiki semua ekonomi dll 2. Mahfud Mslh Hukum,saya_cebongers,Positif,Tweet ini menunjukkan dukungan untuk Ganjar-Mahfud sebagai solusi untuk memperbaiki masalah yang ditinggalkan oleh Jokowi.
Mon Feb 12 23:18:49 +0000 2024,@abu_waras Kuyysss AMIN kan indonesia. jika masih belum saatnya kita bersamai pak ganjar. jangan sampai yang dinasti yg naik. hancur nanti negara kita euy. https://t.co/zqRmYkMynj,AzizahAqila__,Positif,Tweet ini menunjukkan dukungan untuk Ganjar dan kekhawatiran terhadap dinasti politik.
Mon Feb 12 23:18:23 +0000 2024,Slank3rs dan Mas Ganjar Pranowo&amp;Prof Mahfud Md kolaborasi energi positif untuk mewujudkan perubahan positif di Indonesia.. Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @tuanxrab #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ETuHWlQUxx,suyonorhmat,Positif,Tweet ini menunjukkan dukungan untuk kolaborasi Ganjar-Mahfud dalam membawa perubahan positif.
Mon Feb 12 23:18:22 +0000 2024,Keberanian Ganjar Pranowo dan Prof Mahfud dalam menghadapi potensi kecurangan pemilu adalah cerminan dari kepemimpinan yang tangguh . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @fllowaura #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/xfnTi52Lfo,alifftrhmn_,Positif,Tweet ini memuji keberanian Ganjar-Mahfud dalam menghadapi kecurangan pemilu.
Mon Feb 12 23:18:11 +0000 2024,Semua dukungan kita terasa lebih dalam lewat kata-kata bijak mari bersama-sama membangun citra positif untuk Ganjar-Mahfud. Kesejahteraan berkali lipat Indonesia Hebat ! @miniariesy #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/pxHWFE8qIp,32LiliSaputri,Positif,Tweet ini menunjukkan dukungan untuk membangun citra positif Ganjar-Mahfud.
Mon Feb 12 23:18:10 +0000 2024,Kehadiran Ganjar - Mahfud dalam hajatan rakyat Semarang membawa optimisme baru bagi masa depan kota . Ganjar Pranowo terbukti lebih baik @michaelsuryo #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/jhXAkkzkx5,wijayaa_dani,Positif,Tweet ini menunjukkan optimisme terhadap masa depan kota dengan kehadiran Ganjar-Mahfud.
Mon Feb 12 23:17:57 +0000 2024,Dulu mempercayai Jokowi sekarang yakin Mas Ganjar punya visi yang kuat . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @Tha_Nezz #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/JJ2atT3es3,hanaaul46622814,Positif,Tweet ini menunjukkan peralihan dukungan dari Jokowi ke Ganjar karena visinya yang kuat.
Mon Feb 12 23:17:55 +0000 2024,@abu_waras Bismillah AMIN yukkk. kita satukan suara kita. namun jika masih kurang kita berjuang bersama pak ganjar di putaran kedua untuk mengalahkan si perusak demokrasi. https://t.co/MQ9MBXKpi3,antikashinta_,Positif,Tweet ini menunjukkan dukungan untuk Ganjar jika AMIN tidak berhasil di putaran pertama.
Mon Feb 12 23:17:50 +0000 2024,Suara kita nyawa demokrasi Kawal dengan penuh semangat. Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @SitiNurSadiyah3 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/GgBScSANQ9,anggarasabtaa,Positif,Tweet ini menunjukkan dukungan kuat untuk Ganjar sebagai penjaga demokrasi.
Mon Feb 12 23:17:31 +0000 2024,Ganjar - Mahfud berhasil mendapat tempat di hati warga Semarang lewat Hajatan Rakyat . Ganjar Pranowo - Hanya dia yang betul merakyat dan akan berbuat lebih demi rakyat @txtbarbiey #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/bgPDPSlMzr,zakiramadhan_2,Positif,Tweet ini menunjukkan dukungan dari warga Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:17:11 +0000 2024,Ganjar Pranowo dan Prof Mahfud mengajak para pendukung untuk tidak lelah menjaga integritas pemilu hingga titik akhir perhitungan suara . Kesejahteraan berkali lipat Indonesia Hebat ! @funnyasarchive #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/f1NdDHaIvD,alexaftrr_,Positif,Tweet ini menunjukkan ajakan untuk menjaga integritas pemilu.
Mon Feb 12 23:17:11 +0000 2024,Kebersamaan Ganjar - Mahfud dan rakyat Semarang tercermin dalam hajatan rakyat yang meriah . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @mhmmdfahmiiii #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/HpoodSqS33,__anggunaulia,Positif,Tweet ini menunjukkan kebersamaan Ganjar-Mahfud dengan rakyat Semarang.
Mon Feb 12 23:16:56 +0000 2024,Kampanye akbar Hajatan Rakyat menjadi momen bersejarah bagi warga Semarang dalam mendukung Ganjar - Mahfud . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @mofathan #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/aMo9pxsfDe,wati_maryana,Positif,Tweet ini menunjukkan dukungan kuat dari warga Semarang untuk Ganjar-Mahfud.
Mon Feb 12 23:16:54 +0000 2024,@abu_waras Yang penting kita berjuang aja dulu untuk AMIN. kalau kalah masih ada harapan ke pak ganjar kita daripada harus yg suka tantrum. https://t.co/L3KFJtXdxH,Mardiyanti___,Positif,Tweet ini menunjukkan dukungan untuk Ganjar jika AMIN tidak berhasil.
Mon Feb 12 23:16:50 +0000 2024,@ganjarpranowo @ernestprakasa bener pak ganjar filmnya bagus banget ga bosenin nontonnya,marrrr17_,Positif,Tweet ini memuji film yang ditonton oleh Ganjar.
Mon Feb 12 23:16:48 +0000 2024,Kita memiliki peran penting dalam memastikan Ganjar-Mahfud mewujudkan visi dan misinya. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @moon16summer #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/29VkECdoD1,RudiSetiawann99,Positif,Tweet ini menunjukkan dukungan untuk visi dan misi Ganjar-Mahfud.
Mon Feb 12 23:16:47 +0000 2024,Dukungan penuh dari saya untuk Ganjar Mahfud semoga sukses . Ganjar Pranowo terbukti lebih baik @chrisiman25 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/1kVR5xQTn2,ayncholif,Positif,Tweet ini menunjukkan dukungan penuh untuk Ganjar-Mahfud.
Mon Feb 12 23:16:39 +0000 2024,Dulu pilih Jokowi sekarang semangat baru berkobar dengan Mas Ganjar . Tiga Kali Lebih Sejahtera Untuk Indonesia Hebat! @This_is_patrikk #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/X9aS5xZfOf,YudiRahman41,Positif,Tweet ini menunjukkan peralihan dukungan dari Jokowi ke Ganjar.
Mon Feb 12 23:16:31 +0000 2024,@wantahgdn__ Jangan gentar...ada Ganjar...jangan takut ada Mahfud ️ Ganjar Mahfud Hebat #Coblos3 https://t.co/hdJWt5JwTu,altinacarter,Positif,Tweet ini menunjukkan dukungan dan semangat untuk Ganjar-Mahfud.
Mon Feb 12 23:16:18 +0000 2024,Inklusi bukan sekadar slogan tapi landasan kepemimpinan. Ganjar Pranowo hanya yang terbaik untuk rakyat @flowerskiez #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/e5cneD4MGh,AdinataIlyas,Positif,Tweet ini menunjukkan dukungan terhadap inklusi sebagai landasan kepemimpinan Ganjar.
Mon Feb 12 23:16:06 +0000 2024,Kebersamaan rakyat Semarang dan Ganjar - Mahfud menciptakan atmosfer positif dan penuh semangat . Bersama Ganjar kita sejahtera @vanyawrd #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/UP1WMppNHz,Nabil3Haikal,Positif,Tweet ini menunjukkan kebersamaan dan semangat positif.
Mon Feb 12 23:16:05 +0000 2024,@delyano201 @zy_zy_its_me Lah saya malah nyoblos di kening pak Ganjar dan pak Mahfud pake gunting kecil ,sisi_kika,Negatif,Tweet ini menunjukkan tindakan yang tidak pantas terhadap Ganjar-Mahfud.
Mon Feb 12 23:16:01 +0000 2024,Ganjar dan Pak Mahfud memotivasi masyarakat untuk berperan aktif dalam menjaga proses pemilu sebagai bentuk tanggung jawab bersama . Ganjar Pranowo terbukti lebih baik @DKXK__ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/evlvcWrYfu,AdiKusumaz,Positif,Tweet ini menunjukkan motivasi untuk berperan aktif dalam pemilu.
Mon Feb 12 23:15:36 +0000 2024,live H-1~polling Capres~Anies-Muhaimin~Prabowo-Gibran~Ganjar~Mahfud ~ SI... https://t.co/SQwawcXcrD via @YouTube film dokumenter ini membongkar kejorokan dan keculasan kekuasaan dalam memenangkan pilpres?,MansyurPardan,Negatif,Tweet ini menunjukkan kritik terhadap kekuasaan dalam pilpres.
Mon Feb 12 23:15:21 +0000 2024,@abu_waras memang harapan kita adalah pak ganjar jikalau malah pak anies yg kalah di putaran satu. yg penting bukan yg gemoysian dah. https://t.co/1Mn5xkTVfo,primasari11__,Positif,Tweet ini menunjukkan harapan untuk Ganjar jika Anies kalah.
Mon Feb 12 23:15:20 +0000 2024,Mari tingkatkan awareness dengan mengeksplorasi berbagai sudut pandang yang meyakinkan Keberagaman argumen adalah kekuatan kita. Ganjar Pranowo hanya yang terbaik untuk rakyat @mukaikhlas #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/60EWBOsLM7,lestarIrani00,Positif,Tweet ini menunjukkan dukungan untuk meningkatkan kesadaran dan keberagaman argumen.
Mon Feb 12 23:15:18 +0000 2024,Dulu dukung Jokowi sekarang kita sokong Mas Ganjar . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @tindyar #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/i9lxdwBiYx,NurRahm8,Positif,Tweet ini menunjukkan peralihan dukungan dari Jokowi ke Ganjar.
Mon Feb 12 23:15:08 +0000 2024,Dalam wacana mengenai pertahanan Ganjar Pranowo menonjolkan keberpihakannya terhadap peningkatan kapabilitas militer Indonesia . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @clarascaelum_ #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/OFJ2Pkt202,mnhasanah,Positif,Tweet ini menunjukkan dukungan terhadap peningkatan kapabilitas militer.
Mon Feb 12 23:14:58 +0000 2024,Segitu ketakutannya ya klo engga ya tinggal bantah diemin jg ilang sendiri. Kaya waktu Kiky saputri koar koar ganjar nge cut roastingan nya ya klo engga ya ngapain repot. Semua orang tau gibran curang nepotisme ga ada adab. Cm pendukungnya aja pada nerima.,Kicauayu,Negatif,Tweet ini menunjukkan kritik terhadap Ganjar dan Gibran.
Mon Feb 12 23:14:45 +0000 2024,@irwanka5 Hubungannya sama jokowi apa...,Bambangmulyonoo,Netral,Tweet ini menunjukkan pertanyaan tentang hubungan dengan Jokowi.
Mon Feb 12 23:14:34 +0000 2024,Sukses selalu untuk Mas Ganjar&amp;Prof Mahfud karena mereka tidak hanya berbicara tentang keadilan tetapi juga bertindak nyata untuk mewujudkannya dalam kebijakan&amp;kebijakan konkret. Ganjar Pranowo terbukti lebih baik @uyayhawe #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/gitW0fw3BC,SitiRah75974756,Positif,Tweet ini menunjukkan dukungan dan apresiasi terhadap tindakan nyata Ganjar-Mahfud.
Mon Feb 12 23:14:32 +0000 2024,Dengan Ganjar - Mahfud kita bisa membangun Indonesia yang lebih baik. Ganjar Pranowo hanya yang terbaik untuk rakyat @akulucu101 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/UMoVcWSTM8,mhmdgunaawan,Positif,Tweet ini menunjukkan keyakinan bahwa Ganjar-Mahfud dapat membangun Indonesia yang lebih baik.
Mon Feb 12 23:14:29 +0000 2024,Hajatan Rakyat membawa semangat kebersamaan yang menguatkan persatuan dan kesatuan bersama Ganjar - Mahfud. Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @paulputra752099 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/UVlfn4Noem,FitriIfnnaa,Positif,Tweet ini menunjukkan semangat kebersamaan dan persatuan.
Mon Feb 12 23:14:13 +0000 2024,Iya anjir alam ganjar gak ngapa-ngapain jd dimaki-maki emg jokowi kimak,eloisepickles,Negatif,Tweet ini menunjukkan ketidakpuasan dan kritik terhadap Ganjar dan Jokowi.
Mon Feb 12 23:14:10 +0000 2024,Moment @ganjarpranowo makan malam bersama Cak Lontong di Resto Sego Bancakan Pawone Simbah Kawasan Kota Lama Semarang Banyak pengunjung yang menghampiri Ganjar untuk menyapa sampai meminta foto bersama. #YakinPilihGanjar #ganjarpranowo #ganjarmahfud2024 https://t.co/IkGlF8kZrF,doctor__fabre,Positif,Tweet ini menunjukkan momen positif dan interaksi dengan masyarakat.
Mon Feb 12 23:14:10 +0000 2024,@ganjarpranowo Kompak selalu pak ganjar dan pak mahfud,GrubbsSara77485,Positif,Tweet ini menunjukkan dukungan dan harapan untuk kekompakan Ganjar-Mahfud.
